Name,Height,Weight
Raphaelito Anjos,190,85
Mauricio Lemos,187,80
Dalbert,181,70
Lorenzo Pellegrini,186,77
Yeray,183,78
Vincent Janssen,183,88
Pablo Fornals,178,67
Marcos Llorente,183,71
Martín Campaña,187,86
Nadiem Amiri,180,72
Vincent Koziello,168,58
Vallejo,183,74
Şener Özbayraklı,171,71
Franco Cervi,166,67
Malcom,171,71
Rick Karsdorp,184,80
Dani Ceballos,176,65
Hirving Lozano,174,63
Yoan Cardinale,181,84
Badou Ndiaye,180,76
Alessandro Schöpf,178,75
Davinson Sánchez,187,79
Matias Vecino,187,81
Georges-Kévin Nkoudou,175,73
Sandro,175,71
Wesley Hoedt,188,77
Bastos,180,77
Wallace,191,85
Youri Tielemans,177,75
Alen Halilović,170,61
Yuriy Lodygin,187,82
Silvan Widmer,183,81
Gino Peruzzi,178,74
Pablo Pérez,179,71
Darío Benedetto,178,75
Iván Marcone,183,83
Matías Kranevitter,179,75
Emmanuel Mas,183,73
Franco Armani,189,89
Daniel Torres,183,81
Felipe Pardo,178,83
Sardar Azmoun,186,79
Alan Ruiz,183,75
Diego Rolán,176,71
Mohamed Elneny,180,70
Mario Lemina,184,85
Anderson Talisca,191,80
Bruno Fernandes,179,75
Roberto Gagliardini,188,77
Kerem Demirbay,185,80
Nicolás Tagliafico,172,67
Pablo De Blasis,165,65
Carles Gil,170,65
Luca Zuffi,180,70
Juan Fernando Quintero,169,64
Jonny,175,70
Otávio,172,71
Alexander Szymanowski,174,69
Jhon Córdoba,185,85
Jozabed,180,67
Pacheco,186,81
Sam Larsson,180,76
Abdul Rahman Baba,179,70
Andreas Samaris,189,80
Gabriel,184,80
Gerard Moreno,180,75
Erik Durm,183,72
Tobias Strobl,188,77
Marçal,178,72
Leandro Paredes,180,75
Roberto Torres,178,72
Mitchell Weiser,176,67
Dominique Heintz,189,87
Serge Gnabry,173,73
Jetro Willems,170,75
Leonardo Pavoletti,188,78
Zouhair Feddal,190,78
Sébastien Haller,190,88
Lucas Castro,180,80
Luís Hernández,182,74
Marcelo,182,74
Benjamin Mendy,185,85
Willi Orban,186,82
Rubén Pardo,182,68
Luís Neto,187,71
Jores Okore,183,80
Tomáš Vaclík,188,85
Zé Luís,185,84
Pavel Kadeřábek,182,81
Tonny Vilhena,175,76
Terence Kongolo,188,70
Leonardo Bittencourt,171,63
Álvaro,180,68
Stefano Sturaro,181,82
Naldo,188,84
Recio,183,74
Valentin Eysseric,181,73
Ahmed Musa,176,65
Jordan Veretout,176,66
David López,183,81
Ciprian Tătăruşanu,195,88
Ladislav Krejčí,180,68
Aïssa Mandi,184,78
Ismaily,177,78
Nicolas De Préville,182,77
Marafona,190,86
Marko Dević,185,76
Mark Uth,185,70
Nicolás Blandi,180,76
Campaña,179,72
Marco van Ginkel,186,82
Wilson Eduardo,179,76
Ramiro Funes Mori,186,80
Dennis Praet,181,78
Sergi Gómez,185,77
Brice Dja Djédjé,168,75
Sergio Álvarez,182,72
Juan Manuel Iturbe,169,62
Luis Muriel,178,79
Vincent Aboubakar,184,82
Nampalys Mendy,168,68
Luis Alberto,183,74
Florentin Pogba,189,93
Stefan Bell,192,88
Rodrigo,181,77
Benjamin Stambouli,180,82
Jordi Amat,185,83
Jens Toornstra,177,77
Papy Djilobodji,193,82
Ioannis Fetfatzidis,165,61
Danny Ings,178,73
Javi López,180,76
Andros Townsend,181,77
Montoya,174,72
Shinji Okazaki,174,70
Alper Potuk,177,67
André Pinto,194,86
Nemanja Pejčinović,185,80
Germán Pezzella,186,81
Mattia Destro,178,72
Guram Kashia,185,81
Ezequiel Schelotto,187,76
Marko Baša,190,86
Costel Pantilimon,203,96
Marvin Plattenhardt,181,76
Bóveda,180,77
Andrea Bertolacci,179,75
Diego Reyes,189,74
Sébastien Corchia,176,69
Tomás Rincón,175,75
Tolgay Arslan,180,77
Jan Kirchhoff,195,90
Sebastián Blanco,168,64
Rubén Pérez,178,70
Luuk de Jong,189,86
Éder,188,81
Tom Cleverley,175,67
Victor Sánchez,174,72
Benjamin Hübner,193,82
Souza,188,80
Bastian Oczipka,185,87
Marcel Risse,183,75
Jonjo Shelvey,184,83
Mauro Díaz,170,62
Gustavo Bou,178,80
Mirko Valdifiori,185,71
Admir Mehmedi,183,80
Thomas Heurtaux,185,80
Lautaro Acosta,169,67
Daryl Janmaat,185,80
Lewis Holtby,176,72
Juanfran,179,72
Maicon,183,73
Wanderson,180,75
Mauricio Isla,176,75
Dayro Moreno,177,73
Alberto Paloschi,182,80
Christian Träsch,180,75
Cheikhou Kouyaté,193,78
Geoff Cameron,191,84
